Rank,Name,RarityLayer,BucketSource,Country,Gender,Notes
1,John,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
2,Paul,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
3,David,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
4,Michael,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
5,Andrew,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
6,Mark,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
7,Peter,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
8,James,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
9,Daniel,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
10,Richard,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
11,Ian,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
12,Charles,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
13,Robert,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
14,Steven,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
15,Chris,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
16,Stephen,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
17,Philip,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
18,Ryan,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
19,Adrian,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
20,Albert,top_20_very_common,very_common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
21,Joseph,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
22,Jonathan,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
23,Matthew,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
24,Anthony,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
25,Kevin,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
26,Martin,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
27,George,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
28,Nicholas,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
29,Christian,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
30,Jason,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
31,Dominic,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
32,Christopher,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
33,Thomas,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
34,Alan,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
35,Stuart,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
36,Simon,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
37,Oliver,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
38,Alex,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
39,Benjamin,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
40,Louis,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
41,Luke,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
42,Ethan,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
43,Liam,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
44,Adam,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
45,Alexander,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
46,Nathan,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
47,Joshua,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
48,Samuel,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
49,Mario,21_50_common,common,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
50,Neil,21_50_common,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
51,Clive,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
52,Keith,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
53,Trevor,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
54,Darren,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
55,Marcus,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
56,Wayne,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
57,Colin,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
58,Glen,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
59,Shane,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
60,Aaron,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
61,Gavin,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
62,Shaun,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
63,Nigel,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
64,Grant,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
65,Ross,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
66,Callum,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
67,Gordon,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
68,Owen,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
69,Rhys,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
70,Dylan,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
71,Henry,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
72,Lewis,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
73,Harry,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
74,Oscar,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
75,Theo,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
76,Arthur,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
77,Leo,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
78,Lucas,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
79,Kai,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
80,Sebastian,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
81,Tobias,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
82,Isaac,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
83,Logan,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
84,Carter,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
85,Solomon,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
86,Aidan,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
87,Reuben,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
88,Max,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
89,Lukas,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
90,Gian,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
91,Enzo,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
92,Seth,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
93,Ellis,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
94,Theodore,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
95,Jesse,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
96,Kian,51_100_normal,normal,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
97,Bernard,51_100_normal,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
98,Bruce,51_100_normal,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
99,Cameron,51_100_normal,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
100,Carl,51_100_normal,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
101,Cedric,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
102,Damian,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
103,Derek,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
104,Douglas,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
105,Duncan,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
106,Edward,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
107,Edwin,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
108,Elliot,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
109,Elliott,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
110,Eric,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
111,Felix,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
112,Frank,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
113,Francis,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
114,Freddie,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
115,Fred,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
116,Gabriel,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
117,Geoffrey,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
118,Gerard,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
119,Gerry,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
120,Graham,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
121,Gregory,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
122,Guy,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
123,Harvey,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
124,Harrison,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
125,Howard,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
126,Hugh,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
127,Jack,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
128,Jacob,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
129,Jamie,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
130,Jasper,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
131,Jeremy,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
132,Joel,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
133,Jon,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
134,Jordan,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
135,Julian,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
136,Justin,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
137,Karl,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
138,Kenneth,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
139,Kirk,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
140,Lawrence,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
141,Leon,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
142,Mason,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
143,Miles,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
144,Mitchell,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
145,Nate,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
146,Noah,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
147,Norman,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
148,Patrick,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
149,Perry,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
150,Rafael,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
151,Ralph,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
152,Raymond,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
153,Reece,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
154,Ricky,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
155,Robin,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
156,Roger,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
157,Ronald,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
158,Roy,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
159,Ruben,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
160,Russell,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
161,Scott,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
162,Sean,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
163,Stanley,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
164,Stefan,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
165,Stewart,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
166,Terry,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
167,Timothy,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
168,Tony,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
169,Tristan,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
170,Victor,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
171,Vincent,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
172,Warren,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
173,Wesley,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
174,William,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
175,Xavier,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
176,Zachary,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
177,Alec,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
178,Alfred,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
179,Ashton,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
180,Byron,101_plus_rare,rare,Gibraltar,male,Estimated Gibraltar male given-name ranking for game use
